"","freq","prev","p.freq","p.prev","p","contaminant"
"01cc2516697cf1b59d3bdcdc881c233e",0.000354947354132673,3,NA,0.0128378400705834,0.0128378400705834,TRUE
"0584d6ff6b1991a827c7ed32025d3d57",5.86281001704276e-05,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"05c159796be01e86e66b7ee7a9748b2a",0.000157108223598849,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"0adbc7e3ad3a8d3cac6ef2d3135ac267",0.000176886005313255,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"1c16af05dfb4ec260717d24d0b9b8274",0.00229949601335536,4,NA,0.00363738801999865,0.00363738801999865,TRUE
"1f37e19c844e9bd8878b16056a44d9b4",2.27105145131278e-05,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"30aa14a99983077dcc7e593a6371440f",0.000123673201674835,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"3fcfe36ad281b523c2a5b9793512f5ad",0.00173764209037971,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"52fbe94fdd249c3c74621ff9ca5a4487",0.00355738961059194,4,NA,0.0440765842423361,0.0440765842423361,TRUE
"5f42e03097ae97d5659271915b275879",0.000414997816208957,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"637ddfd0682928e2e0c4e0001883425e",0.000174071763555073,3,NA,0.0128378400705834,0.0128378400705834,TRUE
"63f512c872fcd1c21b3b7ff7c1fc31fa",0.000185344525045199,4,NA,0.0440765842423361,0.0440765842423361,TRUE
"654639f77838c145e2566123862ea66b",0.000234636709000144,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"7363aac88b5325ac49cb469e284e10dd",0.00094248636084348,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"7672f20fb33102ef6f580077260ba892",5.19932102357234e-05,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"81149eedf11c7f9f9ba8707082ee993a",0.00518100671457181,4,NA,0.0440765842423361,0.0440765842423361,TRUE
"863728e1cec6befd5ba02d15baef4c36",0.00280573580904485,7,NA,0.014175543484159,0.014175543484159,TRUE
"87d12797d5311573897bdb415cff26be",0.000555339632233336,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"9076f0dc1a57c84a55fd88e445511903",0.00125051301736705,5,NA,0.0151608777976412,0.0151608777976412,TRUE
"9110c4bc0570a8f5bf9658b76a52b848",0.000317164230800897,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"92fb114641e27921122496428e2ef0dd",0.0309995446604065,47,NA,2.14047152347837e-06,2.14047152347837e-06,TRUE
"9426cd8b391e36a748e9014eb26ada1a",9.25291775582479e-05,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"a83209dccceda9136aeabc58ede7df7b",0.00053992729054154,4,NA,0.0440765842423361,0.0440765842423361,TRUE
"ac164649e33237f799c1ffee4f344d5d",0.046747426684497,60,NA,0.00169034703494976,0.00169034703494976,TRUE
"bae4b88b7cff117c98b2395ac7ab1038",0.000628371216079412,4,NA,0.0440765842423361,0.0440765842423361,TRUE
"c833a3b511abe63cbb783e2671d5e919",0.000136032277253288,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"f2d099ef5556f02539ded15181a3d994",0.000912833995205535,3,NA,0.0128378400705834,0.0128378400705834,TRUE
"f9e709725cf3c5fdde339d139c386406",8.65522291634473e-05,2,NA,0.0443822471011595,0.0443822471011595,TRUE
"fd55e4491e6b3cf2259827d9f78367d6",0.000668516017177536,3,NA,0.0128378400705834,0.0128378400705834,TRUE
