"","baseMean","logFC","lfcSE","stat","pvalue","padj","FDR","Significance","group","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1",2.19047619047619,0.100164199442284,0.312868311219279,0.320148112961439,0.748856054547108,1,1,"Not Significant","conventional","019c7df12e27631b56f1488d691c9cc6","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"2",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","021f91de49c1c31e0ef11831bde954a0","Bacteria","Firmicutes_A","Clostridia_258483","Acetivibrionales","DSM-8532","Thermoclostridium_A",NA
"3",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","03f9b4536cfa51fc6adddc65b22bbfc8","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter",NA
"4",2.97619047619048,-0.0269669960223699,0.271535465669483,-0.0993129790831614,0.920889773545751,1,1,"Not Significant","FTPIG","047c3e377c58d16788eb0ca27fcc9d8b","Bacteria","Omnitrophota","Koll11","UBA10015","Kpj58rc","2-02-FULL-52-10",NA
"5",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","04fc12c1e922aa865dcfd977c4cc0cf7","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales_A_737866","Alteromonadaceae_665222","Pseudidiomarina",NA
"6",3,4.95621573830134e-08,0.270118281057446,1.83483165926385e-07,0.999999853601615,1,1,"Not Significant","conventional","04fce15bfa158893ce5da007efe97ab6","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Aliarcobacter",NA
"7",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","05606ed665dda6a8c61d4bba0f06ce71","Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae","GCA-2747255",NA
"8",3.95238095238095,0.0657032911333816,0.23595389375551,0.278458177093961,0.780660665729022,1,1,"Not Significant","conventional","0580f55be8ee4b0ad04636bf85f710be","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_877923","Flavobacteriaceae","Spongiiferula",NA
"9",11.2619047619048,-0.287866206514527,0.173987388195286,-1.65452340827958,0.0980212111860473,1,1,"Not Significant","FTPIG","06b38c9c1b4191b8a7cb9d3b4e5aa40a","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella_A",NA
"10",5.04761904761905,0.0317089024720598,0.209401939364663,0.151426021020943,0.879639664323967,1,1,"Not Significant","conventional","073b4abc94b30ee1a8aa312620075716","Bacteria","Proteobacteria","Gammaproteobacteria","Berkiellales","Berkiellaceae","Berkiella_A",NA
"11",3.07142857142857,-0.0130561023003493,0.267526351688212,-0.0488030514301092,0.96107625038462,1,1,"Not Significant","FTPIG","07855a1c9eeb18068732835c1451049e","Bacteria","Latescibacterota","UBA2968","UBA2968","UBA2968_779112","VXRD01",NA
"12",2,4.57900798023778e-08,0.326869248876842,1.40086838880431e-07,0.999999888226874,1,1,"Not Significant","conventional","0865646189282a55b020dbd4fccbc9bb","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","UBA11358","UBA11358",NA
"13",1,3.90814484639528e-17,0.451610877740721,8.65378811499537e-17,1,1,1,"Not Significant","conventional","0902fad605fb9822e946fd5d6bf6a7c5","Bacteria","Proteobacteria","Gammaproteobacteria","PIVX01","PIVX01","PIVX01",NA
"14",1.02380952380952,0.078002496501616,0.444978593648573,0.175294941408394,0.860847886402218,1,1,"Not Significant","conventional","092c0d1df65c08dae9addf429df29b4a","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales_A_737866","Enterobacteriaceae_A","Escherichia_710834",NA
"15",1.97619047619048,-0.040641934299808,0.329380690362079,-0.123388940180833,0.901799114606544,1,1,"Not Significant","FTPIG","093e7bac77c71ffb730381060d54ca6f","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Henriciella",NA
