"","baseMean","logFC","lfcSE","stat","pvalue","padj","FDR","Significance","group","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","0022f817a6bf1db59594dc65d5944954","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales_597441","Gallionellaceae","Sideroxydans",NA
"2",2.16666666666667,0.0645402947826984,0.321410706306703,0.200803188930214,0.840852469313842,1,1,"Not Significant","conventional","019c7df12e27631b56f1488d691c9cc6","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"3",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","021f91de49c1c31e0ef11831bde954a0","Bacteria","Firmicutes_A","Clostridia_258483","Acetivibrionales","DSM-8532","Thermoclostridium_A",NA
"4",1.02380952380952,-0.0588936711534792,0.462141683263262,-0.127436397291888,0.89859501019393,1,1,"Not Significant","FTPIG","031c33b1499e82bceed61a3870fc5412","Bacteria","Myxococcota_A_473307","UBA4151","UBA4151","UBA4151","CACGMS01",NA
"5",2.02380952380952,-0.0297472918616356,0.332415326825965,-0.0894883281877362,0.928693829124211,1,1,"Not Significant","FTPIG","03f9b4536cfa51fc6adddc65b22bbfc8","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter",NA
"6",3.97619047619048,-0.0201778323047462,0.238686061093388,-0.0845371204850185,0.932629390578011,1,1,"Not Significant","FTPIG","047c3e377c58d16788eb0ca27fcc9d8b","Bacteria","Omnitrophota","Koll11","UBA10015","Kpj58rc","2-02-FULL-52-10",NA
"7",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","04fc12c1e922aa865dcfd977c4cc0cf7","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales_A_737866","Alteromonadaceae_665222","Pseudidiomarina",NA
"8",3,5.09409915630131e-08,0.273849891818438,1.8601793568276e-07,0.999999851579161,1,1,"Not Significant","conventional","04fce15bfa158893ce5da007efe97ab6","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Aliarcobacter",NA
"9",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","05606ed665dda6a8c61d4bba0f06ce71","Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae","GCA-2747255",NA
"10",12.2142857142857,-0.27859164075975,0.161633920583372,-1.72359638220896,0.0847807321039294,1,1,"Not Significant","FTPIG","06b38c9c1b4191b8a7cb9d3b4e5aa40a","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella_A",NA
"11",4.04761904761905,0.0395284103974007,0.236008354514385,0.167487335262919,0.86698661177302,1,1,"Not Significant","conventional","073b4abc94b30ee1a8aa312620075716","Bacteria","Proteobacteria","Gammaproteobacteria","Berkiellales","Berkiellaceae","Berkiella_A",NA
"12",3.04761904761905,0.00657270444972889,0.272020535649124,0.0241625303547191,0.980722965843264,1,1,"Not Significant","conventional","07855a1c9eeb18068732835c1451049e","Bacteria","Latescibacterota","UBA2968","UBA2968","UBA2968_779112","VXRD01",NA
"13",1,4.17217220504105e-17,0.465828264289191,8.95645997652673e-17,1,1,1,"Not Significant","conventional","0902fad605fb9822e946fd5d6bf6a7c5","Bacteria","Proteobacteria","Gammaproteobacteria","PIVX01","PIVX01","PIVX01",NA
